id	truth_id	hashtag_id
1458	16825	570
1459	16828	570
1460	16830	570
1461	16832	632
1462	16833	570
1465	16838	570
1470	16853	570
1471	16855	570
1476	16869	38
1477	16874	570
1481	16882	223
1483	16884	570
1487	16890	570
1488	16896	638
1490	16896	640
1493	16909	642
1494	16909	226
1496	16914	640
1497	16914	644
1499	16914	645
1501	16921	570
1502	16925	570
1504	16926	646
1505	16926	647
1507	16929	570
1508	16932	570
1509	16937	570
1510	16940	570
1515	16942	484
1516	16943	570
1517	16942	104
1518	16943	650
1519	16942	651
1520	16944	570
1521	16946	570
1522	16950	570
1523	16954	570
1524	16955	652
1525	16956	570
1526	16958	570
1527	16962	570
1528	16965	570
1529	16970	570
1530	16972	570
1531	16974	570
1532	16977	570
1533	16981	570
1534	16983	570
1535	16985	570
1536	16989	570
1537	16988	653
1538	16990	570
1539	16993	570
1540	16996	570
1541	16998	570
1542	16999	654
1543	17000	570
1544	17004	570
1545	17008	655
1546	17009	570
1547	17010	655
1548	17011	656
1549	17012	570
1550	17015	570
1551	17016	657
1552	17021	570
1553	17020	657
1554	17022	570
1555	17023	657
1556	17024	570
1557	17027	570
1558	17026	658
1559	17028	658
1560	17029	570
1561	17032	570
1562	17032	650
1563	17034	570
1564	17034	650
1565	17038	570
1566	17041	570
1567	17042	570
1568	17043	659
1569	17051	570
1570	17053	570
1571	17057	570
788	9500	101
789	9530	357
790	9534	358
791	9541	357
793	9573	87
796	9634	361
798	9634	363
800	9634	365
806	9774	367
808	9985	369
809	9985	370
810	9985	371
811	9988	372
812	9988	373
813	9988	374
814	9992	169
815	9995	169
816	10084	375
817	10084	376
818	10084	377
819	10084	378
820	10084	379
821	10126	380
822	10126	166
823	10126	381
824	10134	382
825	10189	383
826	10189	384
827	10203	385
828	10204	386
829	10204	387
830	10204	388
831	10215	389
832	10220	390
833	10220	89
834	11066	391
835	11080	392
836	11080	393
837	11081	394
838	11091	182
839	11107	395
840	11156	396
841	11157	397
842	11157	359
843	11167	38
844	11167	398
845	11167	44
846	11167	45
847	11167	212
848	11167	399
849	11167	400
850	11172	401
851	11172	402
852	11173	202
853	11189	403
854	11189	404
855	11189	405
856	11189	406
857	11189	407
858	11214	408
859	11215	118
860	11216	409
861	11216	410
862	11216	411
863	11217	409
864	11217	412
865	11222	118
866	11225	343
867	11234	43
868	11234	40
869	11234	413
870	11235	101
871	11235	103
872	11239	42
873	11241	87
874	11241	144
875	11243	87
876	11373	414
877	11918	333
878	11918	415
879	11918	416
880	11918	353
881	11950	333
882	11950	417
883	11953	418
884	11953	419
885	11953	353
886	11953	420
887	11953	421
888	11957	333
889	11973	333
890	11973	417
891	11973	416
892	11978	422
893	11981	423
894	11981	415
895	12039	424
896	12039	353
897	12039	333
898	12039	425
899	12039	426
900	12039	427
901	12044	333
902	12044	428
903	12044	429
904	12044	430
905	12052	431
906	12059	333
907	12059	432
908	12090	433
909	12090	434
910	12090	435
911	12090	436
912	12090	437
913	12090	438
914	12090	439
915	12090	440
916	12090	101
917	12090	441
918	12090	442
919	12090	443
920	12090	444
921	12097	376
922	12097	445
923	12097	433
924	12097	446
925	12105	353
926	12107	419
927	12107	353
928	12107	333
929	12107	447
930	12110	353
931	12118	333
932	12121	353
933	12121	448
934	12121	449
935	12121	450
936	12121	451
937	12121	452
938	12121	333
939	12146	333
940	12162	453
941	12162	454
942	12162	455
943	12162	353
944	12162	333
945	12162	456
946	12162	457
947	12162	458
948	12168	459
949	12173	460
950	12173	333
951	12176	461
952	12176	333
953	12192	462
954	12192	333
955	12195	333
956	12203	333
957	12204	333
958	12204	463
959	12205	333
960	12209	333
961	12211	464
962	12211	465
963	12213	333
964	12214	466
965	12214	450
966	12214	419
967	12214	467
968	12223	333
969	12223	334
970	12224	468
971	12224	469
972	12224	333
973	12224	470
974	12228	333
975	12230	40
976	12232	43
977	12232	432
978	12251	471
979	12252	472
980	12252	87
981	12254	473
982	12258	40
983	12269	333
984	12305	474
985	12313	42
986	12320	40
987	12340	475
988	12340	476
989	12350	477
990	12351	478
991	12351	479
